activityName,shopProvince,date,finalRanking,playerName,hero,TTS_code
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,11,牌牌tgg,阿卡丽 离群之刺,VEN-139-1 VEN-021-1 OGN-039-1 OGN-039-1 OGN-039-1 OGN-012-1 OGN-012-1 OGN-012-1 SFD-048-1 SFD-048-1 SFD-048-1 UNL-053-1 UNL-053-1 UNL-053-1 UNL-003-1 UNL-003-1 VEN-044-1 VEN-044-1 VEN-044-1 OGN-058-1 OGN-058-1 OGN-058-1 OGN-046-1 OGN-046-1 OGN-045-1 OGN-045-1 OGN-045-1 OGN-043-1 OGN-043-1 OGN-043-1 OGN-077-1 OGN-077-1 OGN-077-1 OGN-029-1 OGN-029-1 OGN-029-1 SFD-022-1 SFD-022-1 VEN-140-1 VEN-140-1 VEN-140-1 VEN-166-1 OGN-289-1 OGN-296-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R01-1 SFD-R01-1 SFD-R01-1 SFD-R01-1 SFD-R01-1 SFD-R01-1 VEN-015-1 VEN-015-1 VEN-003-1 VEN-039-1 VEN-040-1 SFD-045-1 SFD-021-1 SFD-021-1 VEN-037-1 VEN-038-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,12,Fane,凯南 狂暴之心,VEN-155-1 VEN-113-1 VEN-104-1 VEN-104-1 VEN-104-1 VEN-156-1 VEN-156-1 VEN-156-1 UNL-128-1 UNL-128-1 SFD-140-1 SFD-140-1 SFD-140-1 SFD-150-1 SFD-234-1 SFD-234-1 SFD-234-1 OGN-169-1 OGN-173-1 OGN-173-1 OGN-183-1 OGN-183-1 OGN-183-1 OGN-185-1 OGN-185-1 OGN-185-1 OGN-194-1 OGN-194-1 OGN-194-1 OGN-195-1 OGN-195-1 OGN-195-1 SFD-155-1 SFD-155-1 VEN-099-1 VEN-099-1 VEN-099-1 UNL-147-1 OGN-198-1 OGN-224-1 SFD-145-1 UNL-210-1 SFD-212-1 OGN-298-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-166-1 OGN-214-1 OGN-214-1 OGN-214-1 OGN-214-1 VEN-103-1 VEN-131-1 UNL-131-1 OGN-201-1 OGN-209-1 OGN-244-1 VEN-114-1 UNL-176-1 SFD-145-1 UNL-145-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,13,鱼衔星,易 无极剑圣,OGS-019-1 UNL-113-1 UNL-120-1 UNL-120-1 UNL-120-1 SFD-057-1 SFD-057-1 UNL-053-1 UNL-053-1 UNL-053-1 OGN-136-1 OGN-136-1 UNL-221-1 UNL-221-1 UNL-221-1 SFD-097-1 SFD-097-1 SFD-097-1 OGN-045-1 OGN-045-1 OGN-045-1 OGN-043-1 OGN-043-1 OGN-043-1 OGN-046-1 OGN-046-1 OGN-058-1 OGN-058-1 OGN-058-1 VEN-083-1 VEN-083-1 OGN-156-1 OGN-156-1 OGN-132-1 OGN-132-1 OGN-132-1 SFD-105-1 VEN-081-1 OGN-077-1 OGN-077-1 OGN-077-1 SFD-207-1 SFD-217-1 UNL-215-1 UNL-R04-1 UNL-R04-1 UNL-R04-1 UNL-R04-1 UNL-R04-1 UNL-R04-1 UNL-R04-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 SFD-R02-1 VEN-037-1 VEN-037-1 VEN-037-1 VEN-085-1 SFD-105-1 SFD-105-1 SFD-110-1 SFD-110-1 UNL-192-1 SFD-045-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,14,𝙆𝙈𝙆.3+x.董帅帅,黛安娜 皎月女神,UNL-234-1 UNL-079-1 OGN-199-1 OGN-199-1 OGN-199-1 OGN-183-1 OGN-183-1 OGN-183-1 UNL-198-1 UNL-198-1 UNL-198-1 UNL-080-1 UNL-080-1 UNL-080-1 OGN-173-1 OGN-173-1 OGN-173-1 OGS-011-1 OGN-116-1 OGN-116-1 OGN-116-1 OGN-095-1 OGN-095-1 OGN-095-1 OGN-104-1 OGN-104-1 OGN-104-1 SFD-080-1 SFD-080-1 UNL-128-1 SFD-140-1 OGN-103-1 OGN-103-1 OGN-103-1 OGN-169-1 OGN-169-1 OGN-169-1 VEN-058-1 VEN-058-1 UNL-131-1 SFD-136-1 UNL-205-1 UNL-214-1 VEN-158-1 UNL-R05-1 UNL-R05-1 UNL-R05-1 UNL-R05-1 UNL-R05-1 UNL-R05-1 UNL-R05-1 SFD-R03-1 SFD-R03-1 SFD-R03-1 SFD-R03-1 SFD-R03-1 UNL-128-1 SFD-145-1 SFD-145-1 VEN-058-1 OGN-179-1 SFD-140-1 UNL-147-1 VEN-061-1 UNL-131-1 UNL-070-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,15,藏宝老企鹅,杰斯 未来守护者,VEN-149-1 SFD-084-1 UNL-073-1 UNL-073-1 UNL-073-1 OGN-115-1 OGN-115-1 OGN-115-1 OGN-134-1 OGN-134-1 OGN-134-1 SFD-080-1 SFD-080-1 SFD-080-1 OGN-138-1 OGN-138-1 OGN-138-1 OGN-133-1 OGN-133-1 VEN-066-1 OGN-156-1 OGN-156-1 VEN-075-1 VEN-075-1 VEN-075-1 OGN-099-1 OGN-099-1 OGN-099-1 OGN-160-1 OGN-160-1 OGN-160-1 UNL-088-1 UNL-088-1 UNL-118-1 UNL-118-1 UNL-118-1 OGN-114-1 OGN-114-1 OGN-095-1 OGN-095-1 OGN-095-1 SFD-209-1 OGN-287-1 OGN-295-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-145-1 OGN-145-1 OGN-145-1 UNL-078-1 UNL-078-1 VEN-066-1 OGN-133-1 VEN-085-1 VEN-085-1 VEN-085-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,16,掏能不能底到_,杰斯 未来守护者,VEN-194*-1 VEN-175-1 UNL-069-1 UNL-069-1 UNL-073-1 UNL-073-1 UNL-073-1 VEN-066-1 VEN-049-1 VEN-049-1 VEN-049-1 VEN-056-1 VEN-056-1 VEN-056-1 SFD-080-1 SFD-080-1 SFD-080-1 OGN-138-1 OGN-138-1 OGN-138-1 OGN-134-1 OGN-134-1 OGN-134-1 OGN-133-1 OGN-133-1 OGN-156-1 OGN-156-1 OGN-156-1 VEN-075-1 VEN-075-1 VEN-075-1 UNL-088-1 UNL-088-1 OGN-160-1 OGN-160-1 OGN-160-1 UNL-118-1 UNL-118-1 UNL-118-1 OGN-099-1 OGN-099-1 OGN-287-1 SFD-219-1 VEN-157-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R03-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-085-1 VEN-085-1 UNL-106-1 UNL-106-1 UNL-103-1 UNL-103-1 OGN-133-1 OGN-105-1 UNL-070-1 UNL-070-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,17,咕咕嘎嘎.Rein,易 无极剑圣,OGS-019-1 UNL-113-1 VEN-083-1 UNL-053-1 UNL-053-1 UNL-053-1 UNL-120-1 UNL-120-1 UNL-120-1 SFD-036-1 SFD-036-1 SFD-036-1 SFD-097-1 SFD-097-1 SFD-097-1 OGN-043-1 OGN-043-1 OGN-043-1 OGN-045-1 OGN-045-1 OGN-045-1 OGN-046-1 OGN-046-1 OGN-058-1 OGN-058-1 OGN-058-1 OGN-077-1 OGN-077-1 OGN-132-1 OGN-132-1 OGN-132-1 OGN-136-1 OGN-136-1 OGN-156-1 OGN-156-1 SFD-105-1 SFD-105-1 SFD-105-1 VEN-081-1 UNL-042-1 SFD-109-1 UNL-215-1 SFD-207-1 SFD-217-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-042-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 OGN-126-1 UNL-192-1 SFD-032-1 SFD-032-1 VEN-083-1 OGN-077-1 OGN-082-1 VEN-084-1 OGN-156-1 UNL-060-1 SFD-057-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,18,交闪不杀,凯南 狂暴之心,VEN-197*-1 VEN-113-1 SFD-130-1 SFD-130-1 UNL-153-1 UNL-153-1 OGN-185-1 OGN-185-1 OGN-185-1 OGN-199-1 SFD-140-1 SFD-140-1 OGN-194-1 OGN-194-1 OGN-194-1 OGN-195-1 OGN-195-1 OGN-195-1 OGN-204-1 OGN-204-1 OGN-204-1 VEN-156-1 VEN-156-1 VEN-156-1 OGN-183-1 OGN-183-1 OGN-183-1 SFD-163-1 UNL-131-1 OGN-213-1 OGN-173-1 OGN-173-1 OGN-172-1 SFD-145-1 SFD-145-1 SFD-150-1 SFD-150-1 UNL-128-1 UNL-128-1 VEN-104-1 VEN-100-1 OGN-298-1 OGN-291-1 SFD-212-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R05-1 SFD-R06-1 SFD-R06-1 SFD-R06-1 SFD-R06-1 SFD-R06-1 UNL-176-1 OGN-201-1 OGN-224-1 VEN-131-1 UNL-131-1 OGN-169-1 OGN-169-1 OGN-209-1 OGN-209-1 OGN-244-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,19,月刊重巡派拉斯,莉莉娅 含羞蓓蕾,UNL-189-1 UNL-082-1 OGN-058-1 OGN-058-1 OGN-058-1 OGN-095-1 OGN-095-1 OGN-095-1 UNL-069-1 UNL-069-1 UNL-069-1 OGN-045-1 OGN-045-1 OGN-045-1 UNL-078-1 UNL-078-1 UNL-078-1 UNL-083-1 UNL-083-1 OGN-043-1 SFD-053-1 OGN-046-1 OGN-046-1 OGN-046-1 OGN-060-1 OGN-060-1 OGN-060-1 OGN-103-1 OGN-103-1 OGN-103-1 SFD-036-1 SFD-036-1 SFD-057-1 SFD-057-1 VEN-038-1 VEN-038-1 VEN-038-1 SFD-052-1 SFD-052-1 OGN-123-1 VEN-031-1 UNL-209-1 SFD-217-1 UNL-205-1 UNL-R02-1 UNL-R02-1 UNL-R02-1 UNL-R02-1 UNL-R02-1 UNL-R02-1 UNL-R03-1 UNL-R03-1 UNL-R03-1 UNL-R03-1 UNL-R03-1 UNL-R03-1 OGN-105-1 SFD-032-1 SFD-032-1 UNL-190-1 UNL-190-1 OGN-043-1 VEN-040-1 VEN-040-1 VEN-061-1 VEN-061-1
【城市挑战赛】深圳站-8.23,广东省,2026-08-23,20,曼波,菲奥娜 无双剑姬,SFD-251-1 OGN-232-1 VEN-179-1 VEN-179-1 VEN-179-1 VEN-135-1 VEN-135-1 VEN-185-1 VEN-185-1 VEN-185-1 UNL-176-1 UNL-176-1 OGN-139-1 OGN-139-1 OGN-139-1 OGN-132-1 OGN-132-1 OGN-132-1 OGN-136-1 OGN-136-1 OGN-136-1 SFD-098-1 SFD-098-1 SFD-098-1 VEN-083-1 VEN-083-1 VEN-083-1 SFD-097-1 SFD-097-1 SFD-097-1 OGN-207-1 OGN-207-1 OGN-207-1 OGN-213-1 OGN-213-1 OGN-224-1 SFD-161-1 SFD-161-1 SFD-161-1 SFD-206-1 SFD-206-1 SFD-217-1 OGN-282-1 SFD-218-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-R04-1 VEN-R06-1 VEN-R06-1 VEN-R06-1 VEN-R06-1 VEN-R06-1 OGN-156-1 OGN-156-1 VEN-085-1 VEN-085-1 OGN-234-1 OGN-234-1 OGN-224-1 OGN-224-1 OGN-145-1 SFD-206-1
