qa_id,card_no,position
f524502c-8db0-568a-9cd8-5c035d282d68,OGN-224,0
ee10161b-ccc8-5a4b-811b-97ef12cf400f,SFD-148,0
96adb670-c700-5cb0-a239-9a01d946494d,SFD-148,0
96adb670-c700-5cb0-a239-9a01d946494d,OGN-221,1
96adb670-c700-5cb0-a239-9a01d946494d,SFD-128,2
96adb670-c700-5cb0-a239-9a01d946494d,SFD-020,3
96adb670-c700-5cb0-a239-9a01d946494d,OGN-285,4
1a72511a-8637-59bb-b7bd-ac70632f4054,SFD-128,0
1a72511a-8637-59bb-b7bd-ac70632f4054,SFD-020,1
1a72511a-8637-59bb-b7bd-ac70632f4054,OGN-285,2
54afc9c5-8dba-562e-ab04-bac702455b75,SFD-020,0
54afc9c5-8dba-562e-ab04-bac702455b75,SFD-128,1
f02a79da-ec64-52ea-a97e-226cfd35e56b,SFD-020,0
b02ca426-0de3-558d-9e15-779c7a87db4b,OGN-173,0
b02ca426-0de3-558d-9e15-779c7a87db4b,SFD-020,1
ff3ec39d-3bd7-52a8-a12d-ad8ddec3a190,SFD-185,0
ff3ec39d-3bd7-52a8-a12d-ad8ddec3a190,OGN-173,1
ff3ec39d-3bd7-52a8-a12d-ad8ddec3a190,OGN-168,2
d0d8437d-7b0e-55b9-bd6b-dd0a9a212312,SFD-030,0
d0d8437d-7b0e-55b9-bd6b-dd0a9a212312,SFD-115,1
d0d8437d-7b0e-55b9-bd6b-dd0a9a212312,OGN-286,2
8a2efaa8-dd37-59c5-a2d7-56871c76614b,SFD-030,0
8a2efaa8-dd37-59c5-a2d7-56871c76614b,SFD-115,1
8a2efaa8-dd37-59c5-a2d7-56871c76614b,OGN-286,2
e9153133-cdfb-5841-a0f1-17f5eba705a2,SFD-153,0
e9153133-cdfb-5841-a0f1-17f5eba705a2,SFD-T02,1
e9153133-cdfb-5841-a0f1-17f5eba705a2,OGN-169,2
e9153133-cdfb-5841-a0f1-17f5eba705a2,VEN-T04,3
e5946f2f-d6ad-5e9f-b118-1b8de0707c55,SFD-153,0
e5946f2f-d6ad-5e9f-b118-1b8de0707c55,SFD-T02,1
e5946f2f-d6ad-5e9f-b118-1b8de0707c55,SFD-050,2
e5946f2f-d6ad-5e9f-b118-1b8de0707c55,VEN-T04,3
b62dc6da-9a63-5404-ae26-8cbd24efd5dc,SFD-165,0
b62dc6da-9a63-5404-ae26-8cbd24efd5dc,SFD-069,1
9628b1f6-1162-5bb4-bdae-071f7d35af35,OGN-195,0
9628b1f6-1162-5bb4-bdae-071f7d35af35,SFD-150,1
d232ff32-f30f-5ac2-b7c2-e2bccd20b67f,SFD-122,0
3b37db67-0add-5228-a98a-180e06eb2988,SFD-122,0
5315f61b-a801-5725-8d60-d404515d46bc,SFD-040,0
b6b24a76-d389-5992-af3f-3c1e106a383c,SFD-069,0
b6b24a76-d389-5992-af3f-3c1e106a383c,SFD-221,1
b6b24a76-d389-5992-af3f-3c1e106a383c,SFD-T03,2
b6b24a76-d389-5992-af3f-3c1e106a383c,UNL-T05,3
b6b24a76-d389-5992-af3f-3c1e106a383c,VEN-T02,4
9abc170f-9464-5680-870d-1ea1e251ab80,SFD-109,0
9abc170f-9464-5680-870d-1ea1e251ab80,SFD-022,1
16b2b0da-cc71-541b-83dc-5cf9c7f25547,SFD-109,0
16b2b0da-cc71-541b-83dc-5cf9c7f25547,SFD-022,1
