原文,归一化标注,card_no,card_name_cn,sub_title_cn,匹配方式,QA覆盖,QA条数,QA_source_id,出现次数,出现文件
残酷复活,残酷复活,UNL-142,残酷复活,,精确(名),有,2,106、107,1,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
沃利贝尔，雄浑巨力,沃利贝尔（雄浑巨力）,OGN-158,沃利贝尔,雄浑巨力,精确(名+副标题),无,0,,4,2025-09-05_关于第一赛季区域公开赛-北京站赛后判例_1108988045816758312/判例文字.txt
派克－深,派克（深渊再临）,UNL-145,派克,深渊再临,前缀匹配(副标题),无,0,,1,2026-09-16_关于第四赛季区域公开赛「沈阳站」赛后判例_1248516146510954500/判例文字.txt
派克-深渊再临,派克（深渊再临）,UNL-145,派克,深渊再临,精确(名+副标题),无,0,,4,2026-06-17_关于第三赛季区域公开赛-长沙站赛后判例_1214778244239196213/判例文字.txt、2026-09-16_关于第四赛季区域公开赛「沈阳站」赛后判例_1248516146510954500/判例文字.txt
流星疗泉,流星疗泉,UNL-215,流星疗泉,,精确(名),无,0,,8,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
海兽钓钩,海兽钓钩,OGN-242,海兽钓钩,,精确(名),有,2,111、204,3,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
涌泉,涌泉之恨,UNL-186,涌泉之恨,,精确(名字前缀),无,0,,1,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
涌泉之恨,涌泉之恨,UNL-186,涌泉之恨,,精确(名),无,0,,1,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
清理门户,清理门户,OGN-209,清理门户,,精确(名),有,2,32、136,9,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2026-06-17_关于第三赛季区域公开赛-长沙站赛后判例_1214778244239196213/判例文字.txt
清算人竞技场,清算人竞技场,OGN-286,清算人竞技场,,精确(名),有,1,157,3,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
灵魂折镜,灵魂折镜,VEN-152,灵魂折镜,,精确(名),无,0,,2,2026-09-16_关于第四赛季区域公开赛「沈阳站」赛后判例_1248516146510954500/判例文字.txt
烈阳徽记,烈阳徽记,OGN-227,烈阳徽记,,精确(名),无,0,,2,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
烟幕弹,烟幕弹,OGN-093,烟幕弹,,精确(名),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
