原文,归一化标注,card_no,card_name_cn,sub_title_cn,匹配方式,QA覆盖,QA条数,QA_source_id,出现次数,出现文件
“敲”诈,“敲”诈,OGN-095,“敲”诈,,精确(名),有,2,38、152,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
（空·跨行续接）,苍炎守护者、亡花掠食者,OGN-082、OGN-161,苍炎守护者、亡花掠食者,,跨行续接·精确(名)、跨行续接·模糊(距1),有,1,48,2,2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt、2025-09-19_关于第一赛季区域公开赛-杭州站赛后判例_1114291471444344833/判例文字.txt
三相之力,三相之力,SFD-115,三相之力,,精确(名),无,0,,3,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
中娅沙漏,中娅沙漏,OGN-077,中娅沙漏,,精确(名),有,11,41、42、46、119、120、123、146、150、151、174、207,26,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt、2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt、2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
临终仪式,临终仪式,SFD-150,临终仪式,,精确(名),无,0,,2,2026-02-04_关于第二赛季区域公开赛-大连站赛后判例_1165431670649651201/判例文字.txt
乐芙兰－诡术妖姬,诡术妖姬,UNL-199,诡术妖姬,,拆解(后缀成卡·黏连),无,0,,5,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
乐芙兰诡术妖姬,诡术妖姬,UNL-199,诡术妖姬,,拆解(后缀成卡·黏连),无,0,,1,2026-07-23_关于第三赛季全国公开赛赛后判例_1228145041509187608/判例文字.txt
亡花掠食者,亡花掠食者,OGN-161,亡花掠食者,,精确(名),有,1,48,14,2025-09-19_关于第一赛季区域公开赛-杭州站赛后判例_1114291471444344833/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
传奇殿堂,传奇殿堂,SFD-210,传奇殿堂,,精确(名),无,0,,2,2026-02-12_关于第二赛季区域公开赛-南京站赛后判例_1168377215052677145/判例文字.txt
先锋之眼,先锋之眼,SFD-153,先锋之眼,,精确(名),无,0,,7,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt
先锋队长,先锋队长,OGN-218,先锋队长,,精确(名),无,0,,1,2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt
共同献身,共同献身,OGS-015,共同献身,,精确(名),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
决斗,决斗,OGN-128,决斗,,精确(名),有,1,18,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
凯南－御衡之,凯南（御衡之心）,VEN-135,凯南,御衡之心,前缀匹配(副标题),无,0,,1,2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
凯南-御衡之心,凯南（御衡之心）,VEN-135,凯南,御衡之心,精确(名+副标题),无,0,,1,2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
凯南－御衡之心,凯南（御衡之心）,VEN-135,凯南,御衡之心,精确(名+副标题),无,0,,8,2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
前来相助,前来相助,SFD-111,前来相助,,精确(名),有,1,153,2,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
加农炮幕,加农炮幕,OGN-127,加农炮幕,,精确(名),无,0,,1,2025-09-05_关于第一赛季区域公开赛-北京站赛后判例_1108988045816758312/判例文字.txt
劫掠船巷,劫掠船巷,OGN-285,劫掠船巷,,精确(名),有,2,37、78,4,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
卑之喉的巢穴,卑鄙之喉的巢穴,OGN-295,卑鄙之喉的巢穴,,模糊(距1),无,0,,5,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
卑部之喉的巢穴,卑鄙之喉的巢穴,OGN-295,卑鄙之喉的巢穴,,模糊(距1),无,0,,1,2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
卡兹克-恐怖畸变,卡兹克（恐怖畸变）,UNL-143,卡兹克,恐怖畸变,精确(名+副标题),有,1,115,4,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
卡牌骗术,卡牌骗术,OGN-183,卡牌骗术,,精确(名),有,4,82、83、84、116,3,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
卡牌骗术并选择<回响>，对方打出,卡牌骗术,OGN-183,卡牌骗术,,前缀截取[卡牌骗术]·精确(名),有,4,82、83、84、116,1,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
卡莎，虚空之女,虚空之女,OGN-247,虚空之女,,拆解(后缀成卡·黏连),有,1,68,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
卡银娜·薇蕊泽,卡银娜·薇蕊泽,SFD-179,卡银娜·薇蕊泽,,精确(名),无,0,,3,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
厄塔汗,厄塔汗,UNL-170,厄塔汗,,精确(名),有,1,88,2,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
哀哀魄罗,哀哀魄罗,SFD-036,哀哀魄罗,,精确(名),有,1,163,6,2026-06-17_关于第三赛季区域公开赛-长沙站赛后判例_1214778244239196213/判例文字.txt、2026-09-03_关于第四赛季区域公开赛「武汉站」赛后判例_1243800197284233235/判例文字.txt
坏坏魄罗,坏坏魄罗,SFD-069,坏坏魄罗,,精确(名),有,1,129,6,2026-01-29_关于第二赛季区域公开赛-成都站赛后判例_1163166481226137616/判例文字.txt、2026-02-04_关于第二赛季区域公开赛-大连站赛后判例_1165431670649651201/判例文字.txt
坚毅不倒,坚毅不倒,OGN-145,坚毅不倒,,精确(名),有,1,18,2,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
大副,大副,OGN-132,大副,,精确(名),有,2,50、209,2,2025-09-05_关于第一赛季区域公开赛-北京站赛后判例_1108988045816758312/判例文字.txt
天声震落,天声震落,OGN-250,天声震落,,精确(名),无,0,,3,2025-09-05_关于第一赛季区域公开赛-北京站赛后判例_1108988045816758312/判例文字.txt
天角牧者,天角牧者,SFD-048,天角牧者,,精确(名),无,0,,7,2026-09-16_关于第四赛季区域公开赛「沈阳站」赛后判例_1248516146510954500/判例文字.txt
天顶之刃,天顶之刃,OGN-262,天顶之刃,,精确(名),无,0,,2,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
"奇亚娜,所向披靡",奇亚娜（所向披靡）,OGN-155,奇亚娜,所向披靡,精确(名+副标题),无,0,,2,2025-09-05_关于第一赛季区域公开赛-北京站赛后判例_1108988045816758312/判例文字.txt、2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt
奇亚娜，所向披靡,奇亚娜（所向披靡）,OGN-155,奇亚娜,所向披靡,精确(名+副标题),无,0,,2,2025-09-05_关于第一赛季区域公开赛-北京站赛后判例_1108988045816758312/判例文字.txt
奥恩,奥恩（铁匠）,SFD-058,奥恩,铁匠,精确(名·上下文定副标题),无,0,,1,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
奥恩－铁匠,奥恩（铁匠）,SFD-058,奥恩,铁匠,精确(名+副标题),无,0,,3,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
娜美-,娜美（移海之志）,UNL-052,娜美,移海之志,精确(名),无,0,,1,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
娜美-移海之志,娜美（移海之志）,UNL-052,娜美,移海之志,精确(名+副标题),无,0,,2,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
守护天使,守护天使,SFD-051,守护天使,,精确(名),有,1,146,2,2026-06-17_关于第三赛季区域公开赛-长沙站赛后判例_1214778244239196213/判例文字.txt
寞想,冥想,OGN-048,冥想,,模糊(距1),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
寞想的额外可选费用，不是目标选择，不会触发幻梦之树的技能，不抽牌。,冥想,OGN-048,冥想,,前缀截取[寞想]·模糊(距1),无,0,,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
峡谷先锋,峡谷先锋,UNL-179,峡谷先锋,,精确(名),无,0,,4,2026-05-20_关于第三赛季区域公开赛-苏州站赛后判例_1204434245046501409/判例文字.txt
帝国谕令,帝国谕令,OGN-221,帝国谕令,,精确(名),有,2,91、138,4,2025-09-12_关于第一赛季区域公开赛-重庆站赛后判例_1111662951442415632/判例文字.txt、2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
幻梦之树,幻梦之树,OGN-292,幻梦之树,,精确(名),有,2,25、80,10,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
废物利用,废物利用,OGN-224,废物利用,,精确(名),无,0,,5,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt、2025-11-13_关于第一赛季全国公开赛（上海）赛后判例_1134645362212995072/判例文字.txt
彗－焚心绘华,彗（焚心绘华）,UNL-080,彗,焚心绘华,精确(名+副标题),无,0,,4,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
彗-焚心绘华的内,彗（焚心绘华）,UNL-080,彗,焚心绘华,模糊(距2),无,0,,1,2026-05-27_关于第三赛季区域公开赛-西安站赛后判例_1207047303099056151/判例文字.txt
德莱厄斯，崔法利,德莱厄斯（崔法利）,OGN-027,德莱厄斯,崔法利,精确(名+副标题),有,1,10,1,2025-09-03_关于第一赛季区域公开赛-广州站赛后判例_1106492573155852293/判例文字.txt
德莱文-艺高胆大,德莱文（艺高胆大）,SFD-148,德莱文,艺高胆大,精确(名+副标题),有,3,91、128、218,4,2026-03-27_关于第二赛季全国公开赛赛后判例_1184426593019232338/判例文字.txt
德莱文－艺高胆大,德莱文（艺高胆大）,SFD-148,德莱文,艺高胆大,精确(名+副标题),有,3,91、128、218,6,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt、2026-03-27_关于第二赛季全国公开赛赛后判例_1184426593019232338/判例文字.txt
德莱文－血,德莱文（血斧飞旋）,SFD-020,德莱文,血斧飞旋,前缀匹配(副标题),无,0,,1,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
德莱文-血斧飞旋,德莱文（血斧飞旋）,SFD-020,德莱文,血斧飞旋,精确(名+副标题),无,0,,2,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
德莱文－血斧飞旋,德莱文（血斧飞旋）,SFD-020,德莱文,血斧飞旋,精确(名+副标题),无,0,,6,2026-01-21_关于第二赛季区域公开赛-福州站赛后判例_1160282840232886273/判例文字.txt
